IP Address		MAC Address		Vendor
10.50.1.67		4a:8d:05:cc:62:d1		Noma'lum vendor
10.50.1.207		e8:6f:38:91:0b:e1		CHONGQING FUGUI ELECTRONICS CO.,LTD.
10.50.1.192		cc:5e:f8:7f:17:75		Noma'lum vendor
10.50.1.40		74:97:79:eb:69:21		CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.
10.50.1.122		f4:a4:75:ee:41:a2		Noma'lum vendor
10.50.1.172		b8:1e:a4:2e:fa:87		Liteon Technology Corporation
10.50.1.140		dc:97:ba:ad:c0:d7		Intel Corporate
10.50.1.87		18:93:41:63:a3:3f		Noma'lum vendor
10.50.1.111		ee:c5:ac:27:a4:f7		Noma'lum vendor
10.50.2.109		94:bb:43:06:a1:d9		Noma'lum vendor
10.50.2.217		50:5a:65:68:1b:6d		AzureWave Technology Inc.
10.50.3.235		a0:02:a5:07:78:94		Intel Corporate
10.50.2.164		f8:9e:94:7e:0b:62		Noma'lum vendor
10.50.3.231		a0:59:50:7b:70:6e		Intel Corporate
